V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,4,8,10,11,12,13,16,17,20,207674.446850292,336071.287819466
1,2,3,9,10,11,15,18,20,21,138507.410737739,342666.643597277
3,4,5,6,7,13,16,18,19,21,182109.294621717,328348.016432508
2,4,5,11,13,14,17,18,20,21,162314.389592844,314251.740748756
1,2,4,5,6,8,10,13,20,21,172703.384486865,303475.729771637
2,3,5,10,12,14,17,18,19,21,240159.520070868,271293.458873678
1,3,4,7,10,11,17,18,20,21,226267.406894613,317231.965706885
2,4,5,8,9,14,16,19,20,21,214775.277972602,340195.919043321
4,7,8,11,14,15,16,18,19,20,138514.202886604,445175.510346437
1,3,10,11,13,14,15,17,19,20,146950.677941781,347317.100697249
3,5,6,8,12,14,15,16,18,20,142507.055022208,395339.433145529
1,2,4,7,9,12,15,18,20,21,127289.024927291,Inf
2,4,5,6,10,15,16,17,20,21,287605.170658522,294215.569712718
1,2,4,10,11,12,15,16,17,19,145824.671536793,Inf
2,4,7,11,12,13,15,16,19,21,17878.9112496404,Inf
5,9,10,13,15,16,17,18,20,21,207223.956556765,287567.6834545
1,2,8,10,11,12,14,17,20,21,117625.983368846,367683.279253344
1,2,4,6,8,9,10,14,16,18,161293.020953861,368489.559445447
3,8,9,10,13,15,17,19,20,21,156074.361427533,381546.753087118
2,4,7,8,9,10,14,15,20,21,200115.510050905,353064.760209014
1,3,7,13,14,15,16,18,19,20,160504.603554892,429260.681538293
2,5,12,15,16,17,18,19,20,21,206450.485122782,357266.246559235
2,3,4,8,13,16,17,18,19,20,42220.4528097881,465641.726694372
1,2,5,7,12,13,15,18,20,21,168076.738232863,399612.844829508
1,5,7,9,13,16,17,18,20,21,164982.883461115,370895.703293819
3,4,5,8,10,11,17,18,19,20,213577.850163836,249404.305043394
1,6,7,8,10,13,15,16,17,19,93853.1911899571,399631.111933854
5,6,10,11,12,14,15,16,17,19,276399.446458476,205237.399713625
1,3,4,8,12,13,14,19,20,21,13428.9067386679,Inf
1,3,4,6,7,9,10,16,17,18,230135.05718357,338544.172197866
1,2,3,4,9,10,11,16,18,19,211431.682011012,337273.214968469
6,7,8,10,11,12,14,17,18,20,162139.484893777,322243.951332675
1,2,7,11,12,14,18,19,20,21,127008.380437185,Inf
2,3,5,6,7,8,10,13,19,21,237750.92152563,286876.581981602
1,5,6,8,9,14,15,16,20,21,111941.982063777,399314.428630738
5,7,10,11,12,14,15,17,18,21,212969.467013971,190108.975611847
2,4,5,7,9,10,12,13,15,18,139705.38261484,270404.287623969
3,4,7,9,10,11,13,16,17,20,222259.221849637,320447.174282821
3,4,5,10,11,13,14,15,18,19,230473.599039528,211437.655828235
1,3,7,9,13,16,17,19,20,21,3934.19996795841,557474.383403959
