pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
log_SY_tot_flow_janjul,BY_recon_100,3.24,0.46887,0.448,0.310,114.5
BY_FA_Mag,BY_recon_100,2.57,0.29114,0.562,0.344,80.5
BY_FA_Tim,BY_recon_100,1.93,0.03572,0.491,0.236,81.5
BY_FA_Dur,BY_recon_100,1.97,0.53618,0.497,0.245,81.5
RY_Wet_Tim,BY_recon_100,3.95,0.00170,0.497,0.371,113.4
RY_Wet_BFL_Dur,BY_recon_100,6.23,0.21569,0.609,0.511,110.7
RY_SP_ROC,BY_recon_100,3.15,0.38605,0.440,0.301,114.6
RY_DS_Mag_50,BY_recon_100,3.61,0.01034,0.474,0.343,113.9
RY_DS_Mag_90,BY_recon_100,5.49,0.00037,0.578,0.473,111.5
RY_FA_Mag,BY_recon_100,8.45,0.00458,0.809,0.713,75.4
RY_FA_Tim,BY_recon_100,2.34,0.04888,0.540,0.310,81.6
RY_FA_Dur,BY_recon_100,2.59,0.04563,0.565,0.347,81.2
RY_Wet_BFL_Mag_50,BY_recon_100,3.14,0.00786,0.440,0.300,114.6
RY_DS_Tim,BY_recon_100,3.16,0.67606,0.441,0.301,114.6
RY_SP_Tim,BY_recon_100,4.77,0.46969,0.544,0.430,112.3
RY_DS_Dur_WS,BY_recon_100,3.38,0.07799,0.458,0.322,114.3
SY_Wet_Tim,BY_recon_100,4.13,0.05710,0.508,0.385,113.2
SY_Wet_BFL_Dur,BY_recon_100,3.82,0.00470,0.489,0.361,113.6
SY_SP_ROC,BY_recon_100,3.29,0.47803,0.451,0.314,114.4
BY_recon_10,RY_discon_10,6.93,0.47116,0.634,0.542,109.9
BY_recon_15,RY_discon_10,5.05,0.33377,0.558,0.448,112.0
BY_recon_20,RY_discon_10,2.76,0.32693,0.408,0.260,115.2
BY_recon_50,RY_discon_10,1.62,0.25430,0.288,0.110,117.2
BY_recon_80,RY_discon_10,1.51,0.24836,0.274,0.092,117.5
BY_recon_100,RY_discon_10,3.16,0.83227,0.441,0.301,114.6
RY_discon_15,RY_discon_10,0.92,0.31768,0.188,-0.016,118.7
RY_discon_20,RY_discon_10,1.10,0.26988,0.216,0.020,118.3
RY_discon_50,RY_discon_10,0.98,0.30451,0.196,-0.005,118.6
RY_discon_80,RY_discon_10,1.06,0.31198,0.209,0.011,118.4
RY_discon_100,RY_discon_10,1.07,0.31132,0.211,0.013,118.4
RY_recon_10,RY_discon_10,1.02,0.38747,0.203,0.003,118.5
RY_recon_15,RY_discon_10,1.09,0.32725,0.215,0.019,118.3
RY_recon_20,RY_discon_10,1.21,0.26307,0.232,0.039,118.1
RY_recon_50,RY_discon_10,0.85,0.42818,0.176,-0.030,118.9
RY_recon_80,RY_discon_10,0.86,0.35713,0.176,-0.030,118.9
RY_recon_100,RY_discon_10,1.19,0.27085,0.229,0.036,118.1
SY_discon_80,RY_discon_10,0.94,0.33893,0.191,-0.012,118.7
SY_discon_100,RY_discon_10,0.93,0.34148,0.189,-0.014,118.7
BY_min_flow_sepdec,RY_discon_10,1.14,0.35986,0.221,0.027,118.2
RY_min_flow,RY_discon_10,0.93,0.48911,0.189,-0.013,118.7
SY_min_flow_janjul,RY_discon_10,1.16,0.29911,0.225,0.032,118.2
tot_flow_CFLP,RY_discon_10,0.92,0.32758,0.187,-0.016,118.7
BY_tot_flow_sepdec,RY_discon_10,1.86,0.34932,0.317,0.146,116.8
RY_tot_flow,RY_discon_10,1.07,0.27035,0.210,0.013,118.4
SY_tot_flow_janjul,RY_discon_10,0.88,0.46108,0.180,-0.025,118.8
log_tot_flow_CFLP,RY_discon_10,0.94,0.93279,0.190,-0.012,118.7
log_BY_tot_flow_sepdec,RY_discon_10,3.11,0.05654,0.437,0.297,114.7
log_RY_tot_flow,RY_discon_10,1.74,0.53626,0.303,0.129,117.0
log_SY_tot_flow_janjul,RY_discon_10,0.85,0.71380,0.176,-0.031,118.9
BY_FA_Mag,RY_discon_10,1.95,0.89055,0.494,0.241,81.5
BY_FA_Tim,RY_discon_10,0.28,0.64333,0.124,-0.314,85.3
BY_FA_Dur,RY_discon_10,2.83,0.25907,0.586,0.379,80.1
RY_Wet_Tim,RY_discon_10,3.33,0.49968,0.454,0.318,114.3
RY_Wet_BFL_Dur,RY_discon_10,2.98,0.91776,0.427,0.284,114.9
RY_SP_ROC,RY_discon_10,0.85,0.35469,0.176,-0.031,118.9
RY_DS_Mag_50,RY_discon_10,0.91,0.59328,0.186,-0.017,118.7
RY_DS_Mag_90,RY_discon_10,2.55,0.33269,0.389,0.237,115.6
RY_FA_Mag,RY_discon_10,1.80,0.71637,0.474,0.211,82.5
RY_FA_Tim,RY_discon_10,0.28,0.58338,0.123,-0.316,86.1
RY_FA_Dur,RY_discon_10,0.74,0.71802,0.271,-0.094,84.8
RY_Wet_BFL_Mag_50,RY_discon_10,0.87,0.34884,0.178,-0.027,118.8
RY_DS_Tim,RY_discon_10,0.99,0.34925,0.198,-0.003,118.6
RY_SP_Tim,RY_discon_10,1.05,0.55768,0.208,0.010,118.4
RY_DS_Dur_WS,RY_discon_10,2.62,0.07740,0.396,0.244,115.4
SY_Wet_Tim,RY_discon_10,2.51,0.14660,0.385,0.231,115.6
SY_Wet_BFL_Dur,RY_discon_10,2.30,0.12483,0.365,0.207,116.0
SY_SP_ROC,RY_discon_10,1.11,0.39914,0.217,0.021,118.3
BY_recon_10,RY_discon_15,6.12,0.75113,0.605,0.506,110.8
BY_recon_15,RY_discon_15,4.28,0.56648,0.517,0.396,113.0
BY_recon_20,RY_discon_15,2.14,0.56648,0.348,0.185,116.3
BY_recon_50,RY_discon_15,1.08,0.45170,0.212,0.015,118.4
BY_recon_80,RY_discon_15,0.88,0.48078,0.181,-0.024,118.8
BY_recon_100,RY_discon_15,3.11,0.65324,0.438,0.297,114.7
RY_discon_10,RY_discon_15,0.92,0.31768,0.188,-0.016,118.7
RY_discon_20,RY_discon_15,1.44,0.37001,0.265,0.081,117.6
RY_discon_50,RY_discon_15,0.75,0.45269,0.157,-0.053,119.1
